AAPL
MSFT
AMZN
FB
GOOGL
GOOG
BRK.B
NVDA
TSLA
JPM
JNJ
V
UNH
PYPL
HD
PG
MA
DIS
BAC
ADBE
CMCSA
XOM
NFLX
VZ
CRM
INTC
CSCO
PFE
ABT
KO
T
PEP
NKE
ABBV
TMO
CVX
MRK
ACN
AVGO
WMT
LLY
WFC
DHR
TXN
COST
MCD
MDT
QCOM
PM
UPS
HON
ORCL
LIN
BMY
UNP
NEE
C
AMGN
LOW
INTU
SBUX
MS
RTX
BA
BLK
GS
AMT
AMAT
IBM
TGT
CAT
AMD
MMM
GE
ISRG
AXP
NOW
DE
CVS
SCHW
CHTR
SPGI
ANTM
LMT
ZTS
MU
BKNG
PLD
FIS
LRCX
MDLZ
MO
SYK
TMUS
CCI
ADP
GILD
TJX
COP
CI
PNC
DUK
USB
CME
CSX
EL
EQIX
GM
TFC
ATVI
CB
BDX
MMC
FDX
COF
CL
ILMN
NSC
EW
ICE
SHW
SO
ADSK
FISV
ITW
APD
ADI
BSX
REGN
D
ETN
MCO
HUM
EMR
PGR
HCA
GPN
F
IDXX
TWTR
NXPI
WM
NOC
AON
FCX
ECL
VRTX
BIIB
DG
NEM
ROP
JCI
EOG
IQV
KLAC
PSA
TROW
DOW
KMB
MSCI
A
LHX
ROST
TEL
EBAY
MET
TT
CMG
EXC
SLB
ALGN
GD
CNC
DLR
SNPS
APTV
INFO
DXCM
AEP
SRE
SPG
APH
DD
EA
BAX
ORLY
ALXN
AIG
PPG
MCHP
BK
ALL
PRU
CARR
PH
STZ
CDNS
SYY
MPC
TRV
MSI
PXD
MAR
PSX
IFF
GIS
CTSH
HPQ
XEL
DFS
RMD
KMI
TDG
SBAC
WELL
XLNX
CMI
HLT
YUM
PAYX
WBA
AFL
FTNT
ZBH
CTAS
OTIS
MNST
AZO
MTD
ADM
SWK
FRC
ROK
CTVA
WMB
SWKS
GLW
LUV
ANSS
AME
VLO
PEG
FAST
PCAR
MCK
DHI
EFX
SIVB
AVB
WLTW
ZBRA
AWK
VRSK
AJG
AMP
STT
KEYS
WEC
CBRE
KR
CPRT
ES
DAL
NUE
MXIM
LEN
WST
LH
EQR
GNRC
BLL
FITB
VFC
SYF
VIAC
LYB
KSU
KHC
HSY
ENPH
ARE
OXY
O
WY
ETSY
OKE
ED
CDW
BBY
ODFL
CERN
NTRS
IP
RSG
FTV
EXPE
DLTR
HES
VRSN
EXR
CLX
VMC
URI
WAT
QRVO
MKC
IT
GRMN
HIG
EIX
DTE
XYL
MLM
TSCO
PPL
VTR
DOV
KMX
TSN
EXPD
FLT
WDC
TER
CHD
AEE
TRMB
HBAN
ANET
STE
ETR
CZR
FE
NDAQ
COO
ESS
TTWO
CCL
MAA
ULTA
HAL
GWW
ALB
TDY
KEY
DRI
CTLT
TFX
TYL
AKAM
BR
PAYC
CFG
RF
CRL
POOL
HPE
DPZ
GPC
PEAK
NTAP
MTB
RCL
DRE
IR
NVR
MKTX
AMCR
DGX
HOLX
CAG
PKI
CINF
AES
CMS
STX
LB
AVY
CE
J
VTRS
ABC
OMC
MGM
LVS
CAH
IEX
BXP
DVN
FANG
UAL
BKR
MPWR
K
NLOK
RJF
PFG
INCY
EMN
PTC
TXT
UDR
MAS
ABMD
CNP
BIO
PHM
CTXS
WAB
SJM
LNT
EVRG
XRAY
FMC
LKQ
AAP
WHR
JBHT
BF.B
LDOS
WRK
AAL
FBHS
HRL
LUMN
HWM
PKG
ATO
IPG
CBOE
ALLE
JKHY
CHRW
WYNN
FOXA
IRM
L
HAS
LYV
PWR
SNA
HST
UHS
LW
FFIV
TPR
MHK
BWA
PNR
LNC
PENN
HSIC
CF
WRB
MOS
MRO
DISH
NCLH
REG
NRG
NWL
NWSA
DXC
RE
IVZ
TAP
RHI
CMA
NI
AOS
AIZ
WU
PNW
CPB
SEE
GL
KIM
JNPR
DVA
NLSN
BEN
ZION
HII
DISCK
FRT
OGN
APA
ROL
PVH
IPGP
ALK
VNO
PBCT
COG
LEG
GPS
PRGO
HBI
NOV
UNM
RL
FOX
DISCA
UAA
UA
NWS
